url,wikidata,wikidata_id,dhs,lonsea,gnd,elites_suisses,helveticat,viaf,huygens,bhs,eth_bibliothek,parl_ch,geonames,tgn,sds
https://beta.dodis.ch/G10,https://www.wikidata.org/wiki/Q911049,Q911049,,,http://d-nb.info/gnd/4222621-1,,,,,,,,http://geonames.org/5083784,,
https://beta.dodis.ch/G1005,,,,,,,,,,,,,,,
https://beta.dodis.ch/G1001,,,,,,,,,,,,,,,
https://beta.dodis.ch/G1004,https://www.wikidata.org/wiki/Q134514,Q134514,,,http://d-nb.info/gnd/4747363-0,,,,,,,,http://geonames.org/359796,,
https://beta.dodis.ch/G10056,https://www.wikidata.org/wiki/Q813,Q813,,,http://d-nb.info/gnd/4030848-0,,,,,,,,http://geonames.org/1527747,http://vocab.getty.edu/page/tgn/7006655,
https://beta.dodis.ch/G10055,,,,,,,,,,,,,,,
https://beta.dodis.ch/G10067,,,,,,,,,,,,,,,
https://beta.dodis.ch/G10057,,,,,,,,,,,,,,,
https://beta.dodis.ch/G1007,https://www.wikidata.org/wiki/Q162976,Q162976,,,http://d-nb.info/gnd/4308872-7,,,,,,,,http://geonames.org/6553043,,
https://beta.dodis.ch/G10071,https://www.wikidata.org/wiki/Q102158,Q102158,,,http://d-nb.info/gnd/4102367-5,,,,,,,,http://geonames.org/590031,,
https://beta.dodis.ch/G1008,https://www.wikidata.org/wiki/Q3164,Q3164,,,http://d-nb.info/gnd/4252561-5,,,,,,,,http://geonames.org/3037136,,
https://beta.dodis.ch/G10073,https://www.wikidata.org/wiki/Q2184,Q2184,,,http://d-nb.info/gnd/4395034-6,,,,,,,,,,
https://beta.dodis.ch/G10076,,,,,,,,,,,,,,,
https://beta.dodis.ch/G10083,https://www.wikidata.org/wiki/Q183464,Q183464,,,,,,,,,,,,,
https://beta.dodis.ch/G10087,https://www.wikidata.org/wiki/Q45797,Q45797,,,http://d-nb.info/gnd/4013217-1,,,,,,,,http://geonames.org/3020686,,
https://beta.dodis.ch/G10088,https://www.wikidata.org/wiki/Q1296,Q1296,,,http://d-nb.info/gnd/4020176-4,,,,,,,,http://geonames.org/2797656,,
https://beta.dodis.ch/G10097,https://www.wikidata.org/wiki/Q180139,Q180139,,,http://d-nb.info/gnd/1106410947,,,,,,,,http://geonames.org/3074967,,
https://beta.dodis.ch/G10098,https://www.wikidata.org/wiki/Q494504,Q494504,,,http://d-nb.info/gnd/4007202-2,,,,,,,,http://geonames.org/2781680,,
https://beta.dodis.ch/G10101,https://www.wikidata.org/wiki/Q601607,Q601607,,,http://d-nb.info/gnd/4558471-0,,,,,,,,http://geonames.org/2660668,http://vocab.getty.edu/page/tgn/1064070,
https://beta.dodis.ch/G10104,https://www.wikidata.org/wiki/Q9361,Q9361,,,http://d-nb.info/gnd/4094939-4,,,,,,,,http://geonames.org/1528334,http://vocab.getty.edu/page/tgn/7017616,
https://beta.dodis.ch/G1011,https://www.wikidata.org/wiki/Q1724,Q1724,,,http://d-nb.info/gnd/4076912-4,,,,,,,,http://geonames.org/2842647,,
https://beta.dodis.ch/G10111,https://www.wikidata.org/wiki/Q35493,Q35493,,,http://d-nb.info/gnd/4084985-5,,,,,,,,http://geonames.org/1526384,,
